generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
44,8839,8540.83,0,8639,8639,2522,0.5151337940811626,0.5136280347332978,0.5125287967393231
45,8857,8551.82,0,8604,8604,2592,0.5146661119201165,0.513661096086725,0.5128458498023716
46,8916,8543.89,0,8588,8588,2624,0.5146142273801848,0.5137209157645884,0.5127817932969109
47,8796,8537.47,0,8608,8608,2584,0.5148303207513734,0.5139278752436645,0.5131745082402978
48,8848,8538.26,0,8568,8568,2664,0.5151677896038799,0.5140947607113022,0.5133233516692163
49,8865,8533.19,0,8603,8603,2594,0.5149282296650718,0.514213609782031,0.5135938330675173
50,8902,8552.75,0,8583,8583,2634,0.5150629097997519,0.5141682563509186,0.5136295879329935
51,8767,8535.93,0,8597,8597,2606,0.5149828241933505,0.5142848525743261,0.513617960986382
52,8806,8555.58,0,8611,8611,2578,0.5153170232614125,0.5145054818292158,0.5139277582177284
53,8873,8549.85,0,8628,8628,2544,0.5152991907377872,0.5145895110953592,0.5140045680981353
54,8854,8531.58,0,8630,8630,2540,0.5153061717655019,0.5146445797689816,0.5141559131989754
55,8872,8543.0,0,8685,8685,2430,0.5155454925191767,0.5147186147186148,0.5142828662565505
56,8772,8542.69,0,8601,8601,2598,0.5156458397455628,0.5147793260397137,0.5140602702929573
57,8768,8524.35,0,8620,8620,2560,0.5158298043960476,0.5147561366844488,0.5140378375405599
58,8788,8534.13,0,8621,8621,2558,0.516142693662765,0.5150679407815892,0.5143225294875607
59,8838,8530.71,0,8602,8602,2596,0.5163122452596137,0.5152248360800992,0.5146065922381712
60,8890,8541.48,0,8592,8592,2616,0.5164457343059586,0.5153792890074168,0.5145370878761732
61,8856,8547.48,0,8572,8572,2656,0.5164505839378505,0.5154807840716158,0.5147227795784672
62,8807,8556.18,0,8631,8631,2538,0.5165649814772622,0.5157931444773548,0.5148224095592516
63,8866,8543.09,0,8595,8595,2610,0.5167796384901648,0.5159698963317385,0.5148358585858586
64,8823,8533.76,0,8608,8608,2584,0.5169140800719748,0.5162614403140718,0.5152128573181205
65,8839,8546.65,0,8602,8602,2596,0.5170001449905756,0.5162990350071689,0.5155744043303851
66,8730,8539.33,0,8680,8680,2440,0.5171114126338007,0.5163313020225824,0.5156990168773358
67,8888,8534.26,0,8627,8627,2546,0.5173054070112894,0.5164508865747256,0.5156557838446383
